Year,Name,First Name,Last Name,Position,Height (Inches),Weight (Pounds),Forty Yard Dash (Seconds),Vertical Leap (Inches),Broad Jump (Inches),Round,Pick,College
1999,Rahim Abdullah,Rahim,Abdullah,OLB,77,244,4.85,34,118,2,45,Clemson
1999,Jerry Azumah,Jerry,Azumah,RB,70,195,4.48,43.5,132,5,147,New Hampshire
1999,Champ Bailey,Champ,Bailey,CB,73,184,4.28,37,121,1,7,Georgia
1999,Karsten Bailey,Karsten,Bailey,WR,73,205,4.33,40,121,3,82,Auburn
1999,Eugene Baker,Eugene,Baker,WR,73,167,4.46,36.5,126,5,164,Kent State
1999,Lionel Barnes,Lionel,Barnes,DE,77,264,5,34,112,6,176,Louisiana-Monroe
1999,Eric Barton,Eric,Barton,ILB,75,247,4.68,32,112,5,146,Maryland
1999,DWayne Bates,DWayne,Bates,WR,74,215,4.59,37,117,3,71,Northwestern
1999,Michael Bishop,Michael,Bishop,QB,73,205,4.85,33,113,7,227,Kansas State
1999,Dre Bly,Dre,Bly,CB,70,186,4.51,34.5,116,2,41,North Carolina
1999,David Boston,David,Boston,WR,73,215,4.47,37,116,1,8,Ohio State
1999,David Bowens,David,Bowens,DE,75,255,4.85,31,112,5,158,Western Illinois
1999,Melvin Bradley,Melvin,Bradley,DE,73,269,4.67,31,111,6,202,Arkansas
1999,Aaron Brooks,Aaron,Brooks,QB,76,203,4.6,35.5,120,4,131,Virginia
1999,Donald Broomfield,Donald,Broomfield,DT,75,302,5.08,31,106,7,249,Clemson
1999,Na Brown,Na,Brown,WR,73,184,4.56,40.5,110,4,130,North Carolina
1999,Fernando Bryant,Fernando,Bryant,CB,70,183,4.5,35.5,115,1,26,Alabama
1999,Tony Bryant,Tony,Bryant,DE,76,273,4.85,34.5,111,2,40,Florida State
1999,Shawn Bryson,Shawn,Bryson,FB,73,235,4.63,38.5,128,3,86,Tennessee
1999,Doug Brzezinski,Doug,Brzezinski,OG,76,309,5.32,26,98,3,64,Boston College
1999,Dan Campbell,Dan,Campbell,TE,77,263,4.85,36,121,3,79,Texas A&M
1999,Johndale Carty,Johndale,Carty,FS,73,192,4.58,40,126,4,126,Utah State
1999,Anthony Cesario,Anthony,Cesario,OG,78,312,5.29,26.5,103,3,88,Colorado State
1999,Darrin Chiaverini,Darrin,Chiaverini,WR,73,212,4.53,33,112,5,148,Colorado
1999,Chris Claiborne,Chris,Claiborne,ILB,75,248,4.63,34,116,1,9,USC
1999,Desmond Clark,Desmond,Clark,TE,75,255,4.86,31,113,6,179,Wake Forest
1999,Mike Cloud,Mike,Cloud,RB,71,200,4.56,38.5,117,2,54,Boston College
1999,Rich Coady,Rich,Coady,SS,73,210,4.55,36,119,3,68,Texas A&M
1999,Tony Coats,Tony,Coats,OG,79,312,5.35,30,101,7,209,Washington
1999,Antonio Cochran,Antonio,Cochran,DE,76,297,5.12,33,112,4,115,Georgia
1999,Cecil Collins,Cecil,Collins,RB,69,209,4.51,33,117,5,134,McNeese State
1999,Rosevelt Colvin,Rosevelt,Colvin,DE,75,256,4.92,36.5,119,4,111,Purdue
1999,Rashard Cook,Rashard,Cook,FS,71,197,4.77,36,122,6,184,USC
1999,Scott Covington,Scott,Covington,QB,74,219,4.67,34,109,7,245,Miami (FL)
1999,Jason Craft,Jason,Craft,CB,70,178,4.52,37.5,113,5,160,Colorado State
1999,Daunte Culpepper,Daunte,Culpepper,QB,76,255,4.52,39,122,1,11,UCF
1999,Kevin Daft,Kevin,Daft,QB,74,203,4.85,32.5,114,5,151,UC Davis
1999,Antico Dalton,Antico,Dalton,OLB,73,242,4.71,35,117,6,199,Hampton
1999,Robert Daniel,Robert,Daniel,DE,78,281,5.04,28.5,110,6,175,Northwestern State
1999,Russell Davis,Russell,Davis,DT,76,294,4.95,27.5,104,2,48,North Carolina
1999,James Dearth,James,Dearth,TE,76,273,5.01,29.5,112,6,191,Tarleton State
1999,Autry Denson,Autry,Denson,RB,70,197,4.67,31,116,7,233,Notre Dame
1999,Jared DeVries,Jared,DeVries,DT,76,279,4.97,32.5,111,3,70,Iowa
1999,Adrian Dingle,Adrian,Dingle,DE,75,290,4.94,33,112,5,139,Clemson
1999,Antonio Dingle,Antonio,Dingle,DT,74,320,5.26,31,102,7,214,Virginia
1999,Dameane Douglas,Dameane,Douglas,WR,73,201,4.64,31.5,119,4,102,California
1999,Antuan Edwards,Antuan,Edwards,SS,73,210,4.46,38,123,1,25,Clemson
1999,Troy Edwards,Troy,Edwards,WR,70,191,4.57,36.5,118,1,13,Louisiana Tech
1999,Ebenezer Ekuban,Ebenezer,Ekuban,DE,76,281,4.7,32,112,1,20,North Carolina
1999,Kris Farris,Kris,Farris,OT,80,313,5.12,24,95,3,74,UCLA
1999,Kevin Faulk,Kevin,Faulk,RB,68,205,4.57,34,114,2,46,LSU
1999,Jermaine Fazande,Jermaine,Fazande,FB,73,268,4.79,31.5,107,2,60,Oklahoma
1999,Jim Finn,Jim,Finn,FB,70,228,4.62,31.5,108,7,253,Pennsylvania
1999,Bryce Fisher,Bryce,Fisher,DE,76,283,5,31,106,7,248,Air Force
1999,Charles Fisher,Charles,Fisher,CB,73,182,4.49,38,124,2,33,West Virginia
1999,Jay Foreman,Jay,Foreman,ILB,73,241,4.66,36,117,5,156,Nebraska
1999,Lennie Friedman,Lennie,Friedman,OG,75,301,5.36,29,100,2,61,Duke
1999,Barry Gardner,Barry,Gardner,ILB,73,242,4.71,33,113,2,35,Northwestern
1999,Kelvin Garmon,Kelvin,Garmon,OG,75,329,5.09,25,96,7,243,Baylor
1999,Olandis Gary,Olandis,Gary,RB,73,216,4.71,34,116,4,127,Georgia
1999,Tony George,Tony,George,SS,71,198,4.61,36.5,117,3,91,Florida
1999,Joe Germaine,Joe,Germaine,QB,73,211,4.83,32,105,4,101,Ohio State
1999,Aaron Gibson,Aaron,Gibson,OT,78,386,5.35,24,111,1,27,Wisconsin
1999,Phil Glover,Phil,Glover,OLB,73,239,4.69,36.5,121,7,222,Utah
1999,Kelly Gregg,Kelly,Gregg,DT,73,302,5.27,24,96,6,173,Oklahoma
1999,Chris Greisen,Chris,Greisen,QB,75,223,5.09,30.5,108,7,239,Northwest Missouri State
1999,Ryan Hale,Ryan,Hale,DT,76,295,5.18,30.5,104,7,225,Arkansas
1999,Cory Hall,Cory,Hall,FS,73,202,4.54,36,123,3,65,Fresno State
1999,Darran Hall,Darran,Hall,WR,69,168,4.45,34,115,6,186,Colorado State
1999,Armon Hatcher,Armon,Hatcher,SS,73,215,4.58,36,122,6,194,Oregon State
1999,Steve Heiden,Steve,Heiden,TE,77,260,4.84,32,121,3,69,South Dakota State
1999,Madre Hill,Madre,Hill,RB,73,199,4.54,32,113,7,207,Arkansas
1999,Warrick Holdman,Warrick,Holdman,OLB,74,233,4.69,35,123,4,106,Texas A&M
1999,Torry Holt,Torry,Holt,WR,73,192,4.44,37,118,1,6,North Carolina State
1999,Tyrone Hopson,Tyrone,Hopson,OG,75,319,5.21,26,102,5,161,Eastern Kentucky
1999,Brock Huard,Brock,Huard,QB,77,227,5.12,30.5,107,3,77,Washington
1999,Jay Humphrey,Jay,Humphrey,OT,79,322,5.36,31,106,4,125,Texas
1999,Cletidus Hunt,Cletidus,Hunt,DT,76,293,4.98,31.5,111,3,94,Kentucky State
1999,Robert Hunt,Robert,Hunt,OG,75,291,5.17,24,94,7,226,Virginia
1999,Sedrick Irvin,Sedrick,Irvin,RB,71,223,4.58,35,117,4,103,Michigan State
1999,Dexter Jackson,Dexter,Jackson,FS,73,196,4.61,36,117,4,113,Florida State
1999,Sheldon Jackson,Sheldon,Jackson,TE,75,243,4.82,30.5,105,7,230,Nebraska
1999,Terry Jackson,Terry,Jackson,FB,71,222,4.71,32.5,112,5,157,Florida
1999,Jon Jansen,Jon,Jansen,OT,79,305,5.3,27,100,2,37,Michigan
1999,MarTay Jenkins,MarTay,Jenkins,WR,73,203,4.51,39.5,118,6,193,Nebraska-Omaha
1999,Kevin Johnson,Kevin,Johnson,WR,71,194,4.41,36.5,115,2,32,Syracuse
1999,Paris Johnson,Paris,Johnson,SS,74,207,4.71,35,117,5,155,Miami (OH)
1999,Bryan Jones,Bryan,Jones,OLB,76,210,4.61,35,118,5,142,Oregon State
1999,Jermaine Jones,Jermaine,Jones,CB,68,180,4.53,38.5,118,5,162,Northwestern State
1999,Jevon Kearse,Jevon,Kearse,OLB,77,262,4.58,37,122,1,16,Florida
1999,Jeff Kelly,Jeff,Kelly,ILB,73,256,4.95,32,112,6,198,Kansas State
1999,Chad Kelsay,Chad,Kelsay,OLB,75,254,4.94,35.5,116,7,219,Nebraska
1999,Patrick Kerney,Patrick,Kerney,DE,78,266,4.72,31,111,1,30,Virginia
